Instrumentalist,Music effects
No,No effect
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,No effect
No,Improve
No,No effect
Yes,Improve
No,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
No,No effect
No,Improve
No,No effect
Yes,Improve
Yes,No effect
No,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
No,No effect
No,No effect
No,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,No effect
No,Worsen
No,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
No,No effect
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
No,No effect
Yes,Improve
No,No effect
No,No effect
Yes,No effect
Yes,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,No effect
No,No effect
No,Improve
Yes,No effect
No,No effect
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
Yes,Worsen
No,Improve
No,No effect
Yes,Improve
No,Improve
No,Improve
No,No effect
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Worsen
Yes,Improve
No,No effect
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
Yes,No effect
No,Improve
No,No effect
No,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
Yes,No effect
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,No effect
No,Improve
Yes,Improve
No,No effect
Yes,Improve
No,No effect
No,No effect
No,Improve
No,No effect
Yes,Improve
No,Improve
Yes,Improve
No,No effect
No,Worsen
Yes,Improve
Yes,Worsen
No,Improve
Yes,No effect
No,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,No effect
No,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,No effect
No,Improve
Yes,Worsen
Yes,Improve
No,Improve
No,Improve
Yes,No effect
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,No effect
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
Yes,Improve
No,Improve
No,No effect
No,Improve
No,No effect
Yes,Improve
No,Improve
No,No effect
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,No effect
Yes,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,No effect
No,Improve
No,No effect
No,Worsen
Yes,No effect
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
No,Improve
Yes,No effect
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,No effect
Yes,Improve
No,Improve
No,No effect
No,Improve
Yes,No effect
No,No effect
Yes,Improve
No,Improve
Yes,No effect
No,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,No effect
Yes,Improve
No,No effect
Yes,Improve
Yes,No effect
Yes,Improve
No,No effect
Yes,Improve
Yes,Improve
Yes,No effect
Yes,Improve
Yes,No effect
No,Improve
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,No effect
No,Improve
No,Improve
No,Worsen
No,Improve
No,Improve
No,Worsen
No,Improve
No,Improve
No,No effect
No,No effect
No,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,Improve
Yes,Worsen
No,Improve
Yes,Improve
Yes,No effect
No,Improve
No,No effect
No,No effect
No,No effect
No,No effect
No,Improve
No,Improve
No,No effect
No,Improve
Yes,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,No effect
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
No,No effect
No,Improve
No,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
No,No effect
No,Improve
No,No effect
No,No effect
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,No effect
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Worsen
No,Improve
No,No effect
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
Yes,No effect
Yes,Improve
No,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,No effect
No,Improve
Yes,No effect
No,No effect
No,No effect
No,No effect
Yes,Improve
Yes,Improve
No,No effect
No,Worsen
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,No effect
No,No effect
Yes,Improve
No,Improve
Yes,Improve
No,No effect
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,No effect
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,No effect
No,Improve
No,Improve
No,No effect
No,Worsen
Yes,No effect
No,No effect
No,Improve
Yes,Improve
No,Worsen
No,Improve
No,No effect
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
Yes,No effect
No,Improve
No,Improve
No,No effect
No,Improve
Yes,Improve
Yes,Improve
Yes,Improve
Yes,No effect
No,Improve
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
No,Improve
No,No effect
Yes,No effect
No,Improve
No,Improve
No,Improve
No,Improve
Yes,Improve
Yes,No effect
Yes,No effect
Yes,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
No,No effect
Yes,Improve
Yes,Improve
No,Improve
No,No effect
No,No effect
Yes,Improve
No,Improve
Yes,No effect
No,Improve
No,Improve
Yes,Improve
No,Improve
No,Improve
No,Improve
No,Worsen
No,Improve
No,No effect
Yes,Improve
No,Improve
No,Improve
Yes,Improve
Yes,Improve
No,Improve
Yes,Improve
No,Improve
